id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_group,product_group_cn,expected_best_image_route,selection_reason,source_candidate_rank,selection_tag,symbolic_hu_overlap
496173,102386,好吃点香脆巧克力味饼干638g*1盒酥脆可口小零嘴点心,https://img.alicdn.com/bao/uploaded/i1/725677994/O1CN01yVWuHi28vJ4TMeIOm_!!2-item_pic.png,好吃点,17.9,,零食/坚果/特产,1,hedonic,享乐型,experiential,典型感官/审美/玩乐/氛围型商品，主要满足愉悦、沉浸、想象或情绪体验。,56,canonical_hedonic,
1544271,104460,【26年10月到期】雀巢绝对深黑黑咖啡即溶速溶深烘美式咖啡/健身,https://img.alicdn.com/bao/uploaded/O1CN01jPQoxl1gZ2fMcnAez_!!6000000004155-2-yinhe.png,Nestle/雀巢,99,,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,典型感官/审美/玩乐/氛围型商品，主要满足愉悦、沉浸、想象或情绪体验。,57,canonical_hedonic,
98323,null,【618即刻抢购】TF香水白麝香 暗麝心魄 男女士香水礼物 官方正品,https://img.alicdn.com/bao/uploaded/O1CN01e6iNkz26DDa4RxE1g_!!6000000007627-0-yinhe.jpg,Tom Ford/汤姆福特,620,,彩妆/香水/美妆工具,1,hedonic,享乐型,experiential,典型感官/审美/玩乐/氛围型商品，主要满足愉悦、沉浸、想象或情绪体验。,58,canonical_hedonic,
1563474,102386,每日黑巧鲜萃黑巧吨吨装巧克力休闲零食纯可可脂教师节送礼大礼包,https://img.alicdn.com/bao/uploaded/O1CN01EVJp0u1KGnFop5fol_!!6000000001137-0-yinhe.jpg,每日黑巧,219,下单立减40元,零食/坚果/特产,1,hedonic,享乐型,experiential,口味和即时愉悦驱动，消费体验主要来自味觉、质地和放松感。,66,taste_snacks,
1544188,104460,去寻2024新茶杭州钱塘龙井明前特级绿茶叶礼盒装送人高端礼品,https://img.alicdn.com/bao/uploaded/O1CN01ZXevfo1es9y3ppZtK_!!6000000003926-0-yinhe.jpg,去寻,998,,茶,1,hedonic,享乐型,experiential,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。,67,coffee_tea_drinks,
1557493,102386,Nespresso奈斯派索胶囊黑咖啡粒进口Vertuo系列套装组合120颗官方,https://img.alicdn.com/bao/uploaded/O1CN01hbxRlj1EZDbiVKOqM_!!6000000000365-0-yinhe.jpg,NESPRESSO/奈斯派索,673,满800减50,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。,70,coffee_tea_drinks,
93824,null,Peller冰酒加拿大VQA雷司令威代尔品丽珠冰葡萄酒三支装经典礼盒,https://img.alicdn.com/bao/uploaded/O1CN015iMaM41bantDu3F2p_!!6000000003482-0-yinhe.jpg,PELLER ESTATES,999,满1200减60,酒类,1,hedonic,享乐型,experiential,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。,75,alcohol_mood,
1556723,102386,【官方正品】LOEWE罗意威香氛身体奢护套装番茄叶常春藤,https://img.alicdn.com/bao/uploaded/O1CN01Q9BzCi1ZzQ7wiOeON_!!6000000003265-0-yinhe.jpg,LOEWE/罗意威,1165,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。,80,flowers_aroma_atmosphere,
1394465,89512,老铁匠嘉年华MEGA 磁力联动桌面轮盘 黑科技金属指尖解压edc玩具,https://img.alicdn.com/bao/uploaded/O1CN01fLDPhd1cqD5k2Xe6d_!!6000000003651-0-yinhe.jpg,LAUTIE/傲娇的老铁匠,1999,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。,88,play_fantasy_fun,
26126,110046,SIDANDA140支进口匹马棉四件套法式纯白色全棉套件镂空刺绣轻奢,https://img.alicdn.com/bao/uploaded/O1CN01IkhuFM1lTbwY90awT_!!6000000004820-0-yinhe.jpg,SIDANDA,2464,官方8.5折,床上用品,1,hedonic,享乐型,experiential,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。,95,beauty_music_comfort,
110086,null,【新品】Rapha Pro Team Roadsuit男款竞赛EF车队连体气动骑行服,https://img.alicdn.com/bao/uploaded/O1CN01ZxbTxt2ALFEeQORdn_!!6000000008186-0-yinhe.jpg,rapha（服装）,3500,,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。,106,mobility_cycling_identity,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。
13687,110046,迪卡侬RC120 碟刹铝架碳纤维前叉公路自行车男女通勤骑行OVB1,https://img.alicdn.com/bao/uploaded/O1CN015iJAN81rexWIUc9hg_!!6000000005657-0-yinhe.jpg,Decathlon/迪卡侬,2439.9,满600减60,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。,109,mobility_cycling_identity,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。
101721,null,ROSSIGNOL金鸡女士道内竞技双板滑雪板SIGNATURE VICTOIRE 25新品,https://img.alicdn.com/bao/uploaded/O1CN010pS1Hf1uWfDWpYV13_!!6000000006045-0-yinhe.jpg,ROSSIGNOL/金鸡,7000,1件8.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。,111,outdoor_ski_identity,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。
14314,110046,Nike耐克官方ALPHAFLY 3男子公路竞速专业跑步鞋夏季马拉松FD8311,https://img.alicdn.com/bao/uploaded/O1CN01KdgooS1Zn3PNztvNM_!!6000000003238-0-yinhe.jpg,Nike/耐克,2299,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。,117,sports_fitness_identity,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。
73843,null,【NASA联名】Reebok锐步官方24年新品男女BB-4K2运动篮球鞋,https://img.alicdn.com/bao/uploaded/O1CN01ykXojH1cOjKNDV1t4_!!6000000003591-0-yinhe.jpg,Reebok/锐步,1499,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。,120,sports_fitness_identity,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。
62477,null,Razer雷蛇宝可梦耿鬼联名鼠标键盘鼠标垫耳机游戏外设全家桶礼物,https://img.alicdn.com/bao/uploaded/O1CN01HH8pj61GQdN9zYbQd_!!6000000000617-0-yinhe.jpg,Razer/雷蛇,3699,官方8.5折,电脑硬件/显示器/电脑周边,1,symbolic_group_identity,群体符号型,symbolic,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。,126,gaming_anime_fandom_identity,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。
65169,6,【自营】Nintendo任天堂游戏机Switch单机红蓝/白色手柄OLED掌机,https://img.alicdn.com/bao/uploaded/O1CN011vCYhR1r8RInVAPjn_!!6000000005586-0-yinhe.jpg,Nintendo/任天堂,1938,每件直降662元,电玩/配件/游戏/攻略,1,symbolic_group_identity,群体符号型,symbolic,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。,127,gaming_anime_fandom_identity,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。
27101,110046,【新品上市】百年灵航空计时双时区自动机械男女款41冰蓝瑞士手表,https://img.alicdn.com/bao/uploaded/O1CN01nrt6nI1a1i4ygscq6_!!6000000003270-0-yinhe.jpg,Breitling/百年灵,43550,满20000减50,手表,1,symbolic_group_identity,群体符号型,symbolic,时尚/奢侈/珠宝腕表类商品，适合表达身份、品位、角色或生活方式。,138,fashion_luxury_status_identity,偏享乐：审美和拥有体验强，但更突出身份、品位、阶层或风格信号。
13915,110046,【政府补贴15%】大疆 DJI Mavic 3 Pro 御3三摄旗舰航拍机  超稳图传高清专业大师版航拍器 大疆无人机,https://img.alicdn.com/bao/uploaded/O1CN01zhxyaX24mpOGm3qmS_!!6000000007434-0-yinhe.jpg,DJI/大疆,15919,,智能设备,1,symbolic_group_identity,群体符号型,symbolic,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。,146,creator_musician_identity,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。
57545,null,Fender 芬德  American Professional美专二代Strat电吉他芬达,https://img.alicdn.com/bao/uploaded/O1CN01T4jLhP1WYRwZqN1lM_!!6000000002800-0-yinhe.jpg,Fender/芬德,13855,官方8.5折,乐器/吉他/钢琴/配件,1,symbolic_group_identity,群体符号型,symbolic,创作/音乐/摄影相关商品，既有实用功能，也能清晰标记创作者或音乐人身份。,150,creator_musician_identity,混合：有创作/演奏/拍摄功能，也能标记创作者、摄影爱好者或音乐人身份。
